code_muni,name_muni,cases,gender,year
130002,Alvarães,0,M,2011
130002,Alvarães,0,M,2012
130002,Alvarães,0,M,2013
130002,Alvarães,0,M,2014
130002,Alvarães,0,M,2015
130002,Alvarães,0,M,2016
130002,Alvarães,0,M,2017
130002,Alvarães,0,M,2018
130002,Alvarães,0,M,2019
130002,Alvarães,1,M,2020
130002,Alvarães,1,M,2021
130002,Alvarães,1,M,2022
130002,Alvarães,0,M,2023
130002,Alvarães,0,F,2011
130002,Alvarães,0,F,2012
130002,Alvarães,1,F,2013
130002,Alvarães,1,F,2014
130002,Alvarães,2,F,2015
130002,Alvarães,0,F,2016
130002,Alvarães,0,F,2017
130002,Alvarães,0,F,2018
130002,Alvarães,0,F,2019
130002,Alvarães,0,F,2020
130002,Alvarães,0,F,2021
130002,Alvarães,0,F,2022
130002,Alvarães,0,F,2023
130006,Amaturá,0,M,2011
130006,Amaturá,1,M,2012
130006,Amaturá,1,M,2013
130006,Amaturá,0,M,2014
130006,Amaturá,1,M,2015
130006,Amaturá,0,M,2016
130006,Amaturá,1,M,2017
130006,Amaturá,0,M,2018
130006,Amaturá,0,M,2019
130006,Amaturá,2,M,2020
130006,Amaturá,2,M,2021
130006,Amaturá,0,M,2022
130006,Amaturá,0,M,2023
130006,Amaturá,0,F,2011
130006,Amaturá,1,F,2012
130006,Amaturá,0,F,2013
130006,Amaturá,1,F,2014
130006,Amaturá,0,F,2015
130006,Amaturá,0,F,2016
130006,Amaturá,1,F,2017
130006,Amaturá,0,F,2018
130006,Amaturá,0,F,2019
130006,Amaturá,0,F,2020
130006,Amaturá,0,F,2021
130006,Amaturá,0,F,2022
130006,Amaturá,1,F,2023
130008,Anamã,1,M,2011
130008,Anamã,0,M,2012
130008,Anamã,0,M,2013
130008,Anamã,0,M,2014
130008,Anamã,0,M,2015
130008,Anamã,0,M,2016
130008,Anamã,0,M,2017
130008,Anamã,1,M,2018
130008,Anamã,0,M,2019
130008,Anamã,0,M,2020
130008,Anamã,0,M,2021
130008,Anamã,0,M,2022
130008,Anamã,0,M,2023
130008,Anamã,0,F,2011
130008,Anamã,0,F,2012
130008,Anamã,0,F,2013
130008,Anamã,0,F,2014
130008,Anamã,0,F,2015
130008,Anamã,0,F,2016
130008,Anamã,0,F,2017
130008,Anamã,0,F,2018
130008,Anamã,0,F,2019
130008,Anamã,0,F,2020
130008,Anamã,0,F,2021
130008,Anamã,0,F,2022
130008,Anamã,0,F,2023
130010,Anori,0,M,2011
130010,Anori,0,M,2012
130010,Anori,0,M,2013
130010,Anori,2,M,2014
130010,Anori,1,M,2015
130010,Anori,0,M,2016
130010,Anori,1,M,2017
130010,Anori,0,M,2018
130010,Anori,1,M,2019
130010,Anori,0,M,2020
130010,Anori,1,M,2021
130010,Anori,1,M,2022
130010,Anori,0,M,2023
130010,Anori,0,F,2011
130010,Anori,0,F,2012
130010,Anori,0,F,2013
130010,Anori,1,F,2014
130010,Anori,0,F,2015
130010,Anori,1,F,2016
130010,Anori,1,F,2017
130010,Anori,1,F,2018
130010,Anori,1,F,2019
130010,Anori,1,F,2020
130010,Anori,1,F,2021
130010,Anori,0,F,2022
130010,Anori,0,F,2023
130014,Apuí,0,M,2011
130014,Apuí,0,M,2012
130014,Apuí,1,M,2013
130014,Apuí,2,M,2014
130014,Apuí,4,M,2015
130014,Apuí,2,M,2016
130014,Apuí,2,M,2017
130014,Apuí,0,M,2018
130014,Apuí,0,M,2019
130014,Apuí,1,M,2020
130014,Apuí,2,M,2021
130014,Apuí,1,M,2022
130014,Apuí,0,M,2023
130014,Apuí,1,F,2011
130014,Apuí,2,F,2012
130014,Apuí,2,F,2013
130014,Apuí,4,F,2014
130014,Apuí,2,F,2015
130014,Apuí,3,F,2016
130014,Apuí,0,F,2017
130014,Apuí,1,F,2018
130014,Apuí,0,F,2019
130014,Apuí,1,F,2020
130014,Apuí,0,F,2021
130014,Apuí,1,F,2022
130014,Apuí,0,F,2023
130020,Atalaia do Norte,3,M,2011
130020,Atalaia do Norte,1,M,2012
130020,Atalaia do Norte,0,M,2013
130020,Atalaia do Norte,0,M,2014
130020,Atalaia do Norte,0,M,2015
130020,Atalaia do Norte,0,M,2016
130020,Atalaia do Norte,0,M,2017
130020,Atalaia do Norte,1,M,2018
130020,Atalaia do Norte,1,M,2019
130020,Atalaia do Norte,1,M,2020
130020,Atalaia do Norte,5,M,2021
130020,Atalaia do Norte,2,M,2022
130020,Atalaia do Norte,1,M,2023
130020,Atalaia do Norte,0,F,2011
130020,Atalaia do Norte,0,F,2012
130020,Atalaia do Norte,1,F,2013
130020,Atalaia do Norte,0,F,2014
130020,Atalaia do Norte,0,F,2015
130020,Atalaia do Norte,0,F,2016
130020,Atalaia do Norte,0,F,2017
130020,Atalaia do Norte,0,F,2018
130020,Atalaia do Norte,0,F,2019
130020,Atalaia do Norte,0,F,2020
130020,Atalaia do Norte,2,F,2021
130020,Atalaia do Norte,0,F,2022
130020,Atalaia do Norte,0,F,2023
130030,Autazes,5,M,2011
130030,Autazes,2,M,2012
130030,Autazes,1,M,2013
130030,Autazes,5,M,2014
130030,Autazes,2,M,2015
130030,Autazes,2,M,2016
130030,Autazes,1,M,2017
130030,Autazes,7,M,2018
130030,Autazes,2,M,2019
130030,Autazes,4,M,2020
130030,Autazes,5,M,2021
130030,Autazes,2,M,2022
130030,Autazes,3,M,2023
130030,Autazes,2,F,2011
130030,Autazes,1,F,2012
130030,Autazes,1,F,2013
130030,Autazes,4,F,2014
130030,Autazes,0,F,2015
130030,Autazes,3,F,2016
130030,Autazes,0,F,2017
130030,Autazes,2,F,2018
130030,Autazes,0,F,2019
130030,Autazes,1,F,2020
130030,Autazes,1,F,2021
130030,Autazes,3,F,2022
130030,Autazes,2,F,2023
130040,Barcelos,0,M,2011
130040,Barcelos,1,M,2012
130040,Barcelos,2,M,2013
130040,Barcelos,2,M,2014
130040,Barcelos,0,M,2015
130040,Barcelos,1,M,2016
130040,Barcelos,1,M,2017
130040,Barcelos,0,M,2018
130040,Barcelos,0,M,2019
130040,Barcelos,0,M,2020
130040,Barcelos,2,M,2021
130040,Barcelos,0,M,2022
130040,Barcelos,0,M,2023
130040,Barcelos,0,F,2011
130040,Barcelos,0,F,2012
130040,Barcelos,2,F,2013
130040,Barcelos,0,F,2014
130040,Barcelos,1,F,2015
130040,Barcelos,1,F,2016
130040,Barcelos,0,F,2017
130040,Barcelos,1,F,2018
130040,Barcelos,1,F,2019
130040,Barcelos,0,F,2020
130040,Barcelos,0,F,2021
130040,Barcelos,0,F,2022
130040,Barcelos,0,F,2023
130050,Barreirinha,0,M,2011
130050,Barreirinha,1,M,2012
130050,Barreirinha,1,M,2013
130050,Barreirinha,1,M,2014
130050,Barreirinha,1,M,2015
130050,Barreirinha,6,M,2016
130050,Barreirinha,2,M,2017
130050,Barreirinha,2,M,2018
130050,Barreirinha,1,M,2019
130050,Barreirinha,2,M,2020
130050,Barreirinha,3,M,2021
130050,Barreirinha,1,M,2022
130050,Barreirinha,1,M,2023
130050,Barreirinha,0,F,2011
130050,Barreirinha,1,F,2012
130050,Barreirinha,1,F,2013
130050,Barreirinha,0,F,2014
130050,Barreirinha,1,F,2015
130050,Barreirinha,2,F,2016
130050,Barreirinha,1,F,2017
130050,Barreirinha,2,F,2018
130050,Barreirinha,0,F,2019
130050,Barreirinha,0,F,2020
130050,Barreirinha,2,F,2021
130050,Barreirinha,0,F,2022
130050,Barreirinha,0,F,2023
130060,Benjamin Constant,8,M,2011
130060,Benjamin Constant,10,M,2012
130060,Benjamin Constant,8,M,2013
130060,Benjamin Constant,6,M,2014
130060,Benjamin Constant,3,M,2015
130060,Benjamin Constant,0,M,2016
130060,Benjamin Constant,4,M,2017
130060,Benjamin Constant,3,M,2018
130060,Benjamin Constant,8,M,2019
130060,Benjamin Constant,2,M,2020
130060,Benjamin Constant,4,M,2021
130060,Benjamin Constant,7,M,2022
130060,Benjamin Constant,4,M,2023
130060,Benjamin Constant,3,F,2011
130060,Benjamin Constant,1,F,2012
130060,Benjamin Constant,1,F,2013
130060,Benjamin Constant,6,F,2014
130060,Benjamin Constant,1,F,2015
130060,Benjamin Constant,0,F,2016
130060,Benjamin Constant,2,F,2017
130060,Benjamin Constant,1,F,2018
130060,Benjamin Constant,5,F,2019
130060,Benjamin Constant,3,F,2020
130060,Benjamin Constant,0,F,2021
130060,Benjamin Constant,1,F,2022
130060,Benjamin Constant,0,F,2023
130063,Beruri,2,M,2011
130063,Beruri,0,M,2012
130063,Beruri,3,M,2013
130063,Beruri,1,M,2014
130063,Beruri,1,M,2015
130063,Beruri,0,M,2016
130063,Beruri,0,M,2017
130063,Beruri,1,M,2018
130063,Beruri,1,M,2019
130063,Beruri,1,M,2020
130063,Beruri,0,M,2021
130063,Beruri,1,M,2022
130063,Beruri,1,M,2023
130063,Beruri,0,F,2011
130063,Beruri,0,F,2012
130063,Beruri,0,F,2013
130063,Beruri,1,F,2014
130063,Beruri,0,F,2015
130063,Beruri,0,F,2016
130063,Beruri,0,F,2017
130063,Beruri,1,F,2018
130063,Beruri,0,F,2019
130063,Beruri,0,F,2020
130063,Beruri,0,F,2021
130063,Beruri,0,F,2022
130063,Beruri,0,F,2023
130068,Boa Vista do Ramos,0,M,2011
130068,Boa Vista do Ramos,1,M,2012
130068,Boa Vista do Ramos,2,M,2013
130068,Boa Vista do Ramos,3,M,2014
130068,Boa Vista do Ramos,1,M,2015
130068,Boa Vista do Ramos,1,M,2016
130068,Boa Vista do Ramos,2,M,2017
130068,Boa Vista do Ramos,2,M,2018
130068,Boa Vista do Ramos,1,M,2019
130068,Boa Vista do Ramos,2,M,2020
130068,Boa Vista do Ramos,0,M,2021
130068,Boa Vista do Ramos,1,M,2022
130068,Boa Vista do Ramos,0,M,2023
130068,Boa Vista do Ramos,0,F,2011
130068,Boa Vista do Ramos,1,F,2012
130068,Boa Vista do Ramos,0,F,2013
130068,Boa Vista do Ramos,1,F,2014
130068,Boa Vista do Ramos,0,F,2015
130068,Boa Vista do Ramos,1,F,2016
130068,Boa Vista do Ramos,0,F,2017
130068,Boa Vista do Ramos,0,F,2018
130068,Boa Vista do Ramos,0,F,2019
130068,Boa Vista do Ramos,0,F,2020
130068,Boa Vista do Ramos,1,F,2021
130068,Boa Vista do Ramos,4,F,2022
130068,Boa Vista do Ramos,0,F,2023
130070,Boca do Acre,1,M,2011
130070,Boca do Acre,1,M,2012
130070,Boca do Acre,0,M,2013
130070,Boca do Acre,2,M,2014
130070,Boca do Acre,1,M,2015
130070,Boca do Acre,0,M,2016
130070,Boca do Acre,2,M,2017
130070,Boca do Acre,0,M,2018
130070,Boca do Acre,0,M,2019
130070,Boca do Acre,0,M,2020
130070,Boca do Acre,1,M,2021
130070,Boca do Acre,0,M,2022
130070,Boca do Acre,1,M,2023
130070,Boca do Acre,0,F,2011
130070,Boca do Acre,0,F,2012
130070,Boca do Acre,0,F,2013
130070,Boca do Acre,0,F,2014
130070,Boca do Acre,1,F,2015
130070,Boca do Acre,0,F,2016
130070,Boca do Acre,0,F,2017
130070,Boca do Acre,0,F,2018
130070,Boca do Acre,0,F,2019
130070,Boca do Acre,0,F,2020
130070,Boca do Acre,0,F,2021
130070,Boca do Acre,0,F,2022
130070,Boca do Acre,0,F,2023
130080,Borba,0,M,2011
130080,Borba,4,M,2012
130080,Borba,3,M,2013
130080,Borba,7,M,2014
130080,Borba,4,M,2015
130080,Borba,4,M,2016
130080,Borba,3,M,2017
130080,Borba,3,M,2018
130080,Borba,5,M,2019
130080,Borba,5,M,2020
130080,Borba,3,M,2021
130080,Borba,4,M,2022
130080,Borba,1,M,2023
130080,Borba,1,F,2011
130080,Borba,2,F,2012
130080,Borba,3,F,2013
130080,Borba,1,F,2014
130080,Borba,2,F,2015
130080,Borba,1,F,2016
130080,Borba,0,F,2017
130080,Borba,0,F,2018
130080,Borba,4,F,2019
130080,Borba,2,F,2020
130080,Borba,2,F,2021
130080,Borba,1,F,2022
130080,Borba,1,F,2023
130083,Caapiranga,0,M,2011
130083,Caapiranga,0,M,2012
130083,Caapiranga,0,M,2013
130083,Caapiranga,1,M,2014
130083,Caapiranga,0,M,2015
130083,Caapiranga,1,M,2016
130083,Caapiranga,1,M,2017
130083,Caapiranga,0,M,2018
130083,Caapiranga,2,M,2019
130083,Caapiranga,0,M,2020
130083,Caapiranga,2,M,2021
130083,Caapiranga,0,M,2022
130083,Caapiranga,0,M,2023
130083,Caapiranga,0,F,2011
130083,Caapiranga,0,F,2012
130083,Caapiranga,0,F,2013
130083,Caapiranga,1,F,2014
130083,Caapiranga,0,F,2015
130083,Caapiranga,0,F,2016
130083,Caapiranga,0,F,2017
130083,Caapiranga,1,F,2018
130083,Caapiranga,0,F,2019
130083,Caapiranga,1,F,2020
130083,Caapiranga,2,F,2021
130083,Caapiranga,1,F,2022
130083,Caapiranga,0,F,2023
130090,Canutama,0,M,2011
130090,Canutama,0,M,2012
130090,Canutama,0,M,2013
130090,Canutama,1,M,2014
130090,Canutama,0,M,2015
130090,Canutama,0,M,2016
130090,Canutama,0,M,2017
130090,Canutama,0,M,2018
130090,Canutama,1,M,2019
130090,Canutama,0,M,2020
130090,Canutama,0,M,2021
130090,Canutama,1,M,2022
130090,Canutama,1,M,2023
130090,Canutama,0,F,2011
130090,Canutama,0,F,2012
130090,Canutama,0,F,2013
130090,Canutama,0,F,2014
130090,Canutama,1,F,2015
130090,Canutama,0,F,2016
130090,Canutama,0,F,2017
130090,Canutama,0,F,2018
130090,Canutama,0,F,2019
130090,Canutama,0,F,2020
130090,Canutama,0,F,2021
130090,Canutama,0,F,2022
130090,Canutama,0,F,2023
130100,Carauari,0,M,2011
130100,Carauari,0,M,2012
130100,Carauari,2,M,2013
130100,Carauari,1,M,2014
130100,Carauari,1,M,2015
130100,Carauari,0,M,2016
130100,Carauari,1,M,2017
130100,Carauari,0,M,2018
130100,Carauari,3,M,2019
130100,Carauari,1,M,2020
130100,Carauari,1,M,2021
130100,Carauari,1,M,2022
130100,Carauari,1,M,2023
130100,Carauari,0,F,2011
130100,Carauari,0,F,2012
130100,Carauari,2,F,2013
130100,Carauari,0,F,2014
130100,Carauari,0,F,2015
130100,Carauari,0,F,2016
130100,Carauari,0,F,2017
130100,Carauari,0,F,2018
130100,Carauari,1,F,2019
130100,Carauari,0,F,2020
130100,Carauari,0,F,2021
130100,Carauari,0,F,2022
130100,Carauari,0,F,2023
130110,Careiro,3,M,2011
130110,Careiro,2,M,2012
130110,Careiro,3,M,2013
130110,Careiro,1,M,2014
130110,Careiro,1,M,2015
130110,Careiro,5,M,2016
130110,Careiro,2,M,2017
130110,Careiro,3,M,2018
130110,Careiro,3,M,2019
130110,Careiro,0,M,2020
130110,Careiro,1,M,2021
130110,Careiro,4,M,2022
130110,Careiro,0,M,2023
130110,Careiro,0,F,2011
130110,Careiro,3,F,2012
130110,Careiro,0,F,2013
130110,Careiro,1,F,2014
130110,Careiro,2,F,2015
130110,Careiro,1,F,2016
130110,Careiro,1,F,2017
130110,Careiro,2,F,2018
130110,Careiro,5,F,2019
130110,Careiro,1,F,2020
130110,Careiro,2,F,2021
130110,Careiro,3,F,2022
130110,Careiro,0,F,2023
130115,Careiro da Várzea,2,M,2011
130115,Careiro da Várzea,0,M,2012
130115,Careiro da Várzea,1,M,2013
130115,Careiro da Várzea,1,M,2014
130115,Careiro da Várzea,0,M,2015
130115,Careiro da Várzea,2,M,2016
130115,Careiro da Várzea,2,M,2017
130115,Careiro da Várzea,2,M,2018
130115,Careiro da Várzea,2,M,2019
130115,Careiro da Várzea,0,M,2020
130115,Careiro da Várzea,1,M,2021
130115,Careiro da Várzea,0,M,2022
130115,Careiro da Várzea,2,M,2023
130115,Careiro da Várzea,0,F,2011
130115,Careiro da Várzea,2,F,2012
130115,Careiro da Várzea,0,F,2013
130115,Careiro da Várzea,2,F,2014
130115,Careiro da Várzea,2,F,2015
130115,Careiro da Várzea,0,F,2016
130115,Careiro da Várzea,0,F,2017
130115,Careiro da Várzea,0,F,2018
130115,Careiro da Várzea,1,F,2019
130115,Careiro da Várzea,1,F,2020
130115,Careiro da Várzea,1,F,2021
130115,Careiro da Várzea,2,F,2022
130115,Careiro da Várzea,1,F,2023
130120,Coari,4,M,2011
130120,Coari,5,M,2012
130120,Coari,2,M,2013
130120,Coari,5,M,2014
130120,Coari,4,M,2015
130120,Coari,6,M,2016
130120,Coari,6,M,2017
130120,Coari,6,M,2018
130120,Coari,4,M,2019
130120,Coari,4,M,2020
130120,Coari,6,M,2021
130120,Coari,5,M,2022
130120,Coari,4,M,2023
130120,Coari,5,F,2011
130120,Coari,4,F,2012
130120,Coari,4,F,2013
130120,Coari,3,F,2014
130120,Coari,1,F,2015
130120,Coari,2,F,2016
130120,Coari,3,F,2017
130120,Coari,1,F,2018
130120,Coari,1,F,2019
130120,Coari,3,F,2020
130120,Coari,8,F,2021
130120,Coari,5,F,2022
130120,Coari,1,F,2023
130130,Codajás,0,M,2011
130130,Codajás,1,M,2012
130130,Codajás,0,M,2013
130130,Codajás,0,M,2014
130130,Codajás,2,M,2015
130130,Codajás,1,M,2016
130130,Codajás,1,M,2017
130130,Codajás,0,M,2018
130130,Codajás,1,M,2019
130130,Codajás,2,M,2020
130130,Codajás,2,M,2021
130130,Codajás,1,M,2022
130130,Codajás,0,M,2023
130130,Codajás,0,F,2011
130130,Codajás,0,F,2012
130130,Codajás,2,F,2013
130130,Codajás,0,F,2014
130130,Codajás,1,F,2015
130130,Codajás,1,F,2016
130130,Codajás,0,F,2017
130130,Codajás,2,F,2018
130130,Codajás,0,F,2019
130130,Codajás,0,F,2020
130130,Codajás,0,F,2021
130130,Codajás,0,F,2022
130130,Codajás,0,F,2023
130140,Eirunepé,1,M,2011
130140,Eirunepé,0,M,2012
130140,Eirunepé,1,M,2013
130140,Eirunepé,1,M,2014
130140,Eirunepé,1,M,2015
130140,Eirunepé,0,M,2016
130140,Eirunepé,0,M,2017
